model,system,seed,step,metric,param_count,value
HNN-Ternary,double_pendulum,123,1000,trajectory_mse,369,1.221551e2
HNN-Ternary,double_pendulum,123,0,inference_us,369,2.12
HNN-Ternary,double_pendulum,123,0,memory_bytes,369,216
HNN-Adaptive,double_pendulum,123,1,energy_drift,375,8.011651e-4
HNN-Adaptive,double_pendulum,123,10,energy_drift,375,8.079947e-3
HNN-Adaptive,double_pendulum,123,100,energy_drift,375,1.033494e-1
HNN-Adaptive,double_pendulum,123,1000,energy_drift,375,3.134724e0
HNN-Adaptive,double_pendulum,123,1,trajectory_mse,375,2.276513e-5
HNN-Adaptive,double_pendulum,123,10,trajectory_mse,375,2.255535e-3
HNN-Adaptive,double_pendulum,123,100,trajectory_mse,375,2.083795e-1
HNN-Adaptive,double_pendulum,123,1000,trajectory_mse,375,4.061289e0
HNN-Adaptive,double_pendulum,123,0,inference_us,375,3.08
HNN-Adaptive,double_pendulum,123,0,memory_bytes,375,240
MLP-FP32,double_pendulum,123,1000,energy_drift,420,6.658350e-2
MLP-FP32,double_pendulum,123,0,inference_us,420,3.00
MLP-FP32,double_pendulum,123,0,memory_bytes,420,1680
HNN-FP32,double_pendulum,456,1,energy_drift,369,6.163144e-5
HNN-FP32,double_pendulum,456,10,energy_drift,369,6.171733e-4
HNN-FP32,double_pendulum,456,100,energy_drift,369,6.286149e-3
HNN-FP32,double_pendulum,456,1000,energy_drift,369,8.238102e-2
HNN-FP32,double_pendulum,456,1,trajectory_mse,369,2.702287e-5
HNN-FP32,double_pendulum,456,10,trajectory_mse,369,2.686723e-3
HNN-FP32,double_pendulum,456,100,trajectory_mse,369,2.220302e-1
HNN-FP32,double_pendulum,456,1000,trajectory_mse,369,4.785638e-1
HNN-FP32,double_pendulum,456,0,inference_us,369,1.72
HNN-FP32,double_pendulum,456,0,memory_bytes,369,1476
HNN-Ternary,double_pendulum,456,1,energy_drift,369,3.804831e-3
HNN-Ternary,double_pendulum,456,10,energy_drift,369,3.584503e-2
HNN-Ternary,double_pendulum,456,100,energy_drift,369,8.339784e-1
